Theme,Keywords,Validation_Pct,Frequency,Source_Count
Delivery & Reliability,"['new', 'theme', 'keyword']",75.0,614,5
Reorder Loop & Discovery Friction,"['new', 'theme', 'keyword']",75.0,360,5
Category Friction,"['new', 'theme', 'keyword']",75.0,196,5
Non-Grocery Trust Gaps,"['new', 'theme', 'keyword']",75.0,132,5
Price Sensitivity and Value Perception,[],75.0,123,5
Delivery Cost vs Local Shopping,[],75.0,78,5
Convenience vs. Customer Trust,[],75.0,73,5
Convenience Over Cost Awareness,[],75.0,67,5
Trust in Quick Commerce,[],75.0,25,5
Fresh Produce Trust Issues,[],75.0,17,5
Delivery Time Expectation Mismatch,[],75.0,16,5
Trust in Delivery Process,[],75.0,16,5
Price Sensitivity and Delivery Friction,[],75.0,14,5
Quick Commerce Routine Adoption,[],75.0,4,5
Payment Refund Process Frustration,[],75.0,3,5
Routine Grocery Restocking,[],75.0,2,5
Doorstep Delivery Expectations,[],75.0,1,5
